Time,cpu,mem,gpu,gpu video,gpu enhance
8/21/2023 11:35:12,11.90%,27.992 GB,100%,0%,0%
8/21/2023 11:35:14,12.00%,27.991 GB,100%,0%,0%
8/21/2023 11:35:16,10.80%,27.994 GB,100%,0%,0%
8/21/2023 11:35:18,10.70%,27.994 GB,100%,0%,0%
8/21/2023 11:35:20,11.80%,27.992 GB,100%,0%,0%
8/21/2023 11:35:22,3.51%,27.996 GB,35.50%,0%,0%
8/21/2023 11:35:24,19.30%,28.216 GB,0.03%,0%,0%
8/21/2023 11:35:26,52.00%,28.034 GB,20.10%,0%,0%
8/21/2023 11:35:28,12.00%,27.917 GB,93.10%,0%,0%
8/21/2023 11:35:30,11.40%,27.992 GB,100%,0%,0%
8/21/2023 11:35:32,10.90%,27.980 GB,100%,0%,0%
8/21/2023 11:35:34,12.40%,27.978 GB,100%,0%,0%
8/21/2023 11:35:36,10.70%,27.984 GB,100%,0%,0%
8/21/2023 11:35:38,11.60%,27.978 GB,100%,0%,0%
8/21/2023 11:35:40,11.80%,27.976 GB,100%,0%,0%
8/21/2023 11:35:42,11.70%,27.973 GB,100%,0%,0%
8/21/2023 11:35:44,11.00%,27.969 GB,100%,0%,0%
8/21/2023 11:35:46,8.69%,27.968 GB,80.10%,0%,0%
8/21/2023 11:35:48,3.19%,28.094 GB,0%,0%,0%
8/21/2023 11:35:50,34.00%,28.166 GB,0.07%,0%,0%
8/21/2023 11:35:52,37.30%,28.063 GB,51.60%,0%,0%
8/21/2023 11:35:54,12.10%,27.970 GB,100%,0%,0%
8/21/2023 11:35:56,10.90%,28.022 GB,100%,0%,0%
8/21/2023 11:35:58,10.90%,28.015 GB,100%,0%,0%
8/21/2023 11:36:00,10.80%,28.013 GB,100%,0%,0%
8/21/2023 11:36:02,10.60%,28.010 GB,100%,0%,0%
8/21/2023 11:36:04,10.80%,28.008 GB,100%,0%,0%
8/21/2023 11:36:06,12.10%,28.007 GB,100%,0%,0%
8/21/2023 11:36:08,10.60%,27.997 GB,100%,0%,0%
8/21/2023 11:36:10,12.00%,27.997 GB,100%,0%,0%
8/21/2023 11:36:12,4.13%,27.994 GB,25.30%,0%,0%
8/21/2023 11:36:14,24.50%,28.212 GB,0.03%,0%,0%
8/21/2023 11:36:16,49.60%,28.070 GB,28.80%,0%,0%
8/21/2023 11:36:18,10.90%,27.927 GB,100%,0%,0%
8/21/2023 11:36:20,11.00%,27.999 GB,100%,0%,0%
8/21/2023 11:36:22,11.30%,27.991 GB,100%,0%,0%
8/21/2023 11:36:24,10.80%,27.989 GB,100%,0%,0%
8/21/2023 11:36:26,11.00%,27.987 GB,100%,0%,0%
8/21/2023 11:36:28,11.10%,27.982 GB,100%,0%,0%
8/21/2023 11:36:30,10.70%,27.980 GB,100%,0%,0%
8/21/2023 11:36:32,11.10%,27.976 GB,100%,0%,0%
8/21/2023 11:36:34,11.10%,27.974 GB,100%,0%,0%
8/21/2023 11:36:36,10.90%,27.972 GB,100%,0%,0%
8/21/2023 11:36:38,4.21%,27.968 GB,16.00%,0%,0%
8/21/2023 11:36:40,42.40%,28.176 GB,0.06%,0%,0%
8/21/2023 11:36:42,36.40%,28.062 GB,46.30%,0%,0%
8/21/2023 11:36:44,11.30%,27.952 GB,100%,0%,0%
8/21/2023 11:36:46,10.60%,28.012 GB,100%,0%,0%
8/21/2023 11:36:48,11.30%,28.005 GB,100%,0%,0%
8/21/2023 11:36:50,10.50%,27.999 GB,100%,0%,0%
8/21/2023 11:36:52,11.00%,27.997 GB,100%,0%,0%
8/21/2023 11:36:54,10.90%,27.994 GB,100%,0%,0%
8/21/2023 11:36:56,11.30%,27.992 GB,100%,0%,0%
8/21/2023 11:36:58,11.20%,27.991 GB,100%,0%,0%
8/21/2023 11:37:00,11.50%,27.997 GB,100%,0%,0%
8/21/2023 11:37:02,4.89%,28.003 GB,46.50%,0%,0%
8/21/2023 11:37:04,3.88%,28.206 GB,0.01%,0%,0%
8/21/2023 11:37:06,63.40%,28.144 GB,0.03%,0%,0%
8/21/2023 11:37:08,11.20%,27.923 GB,79.70%,0%,0%
8/21/2023 11:37:10,11.60%,27.982 GB,100%,0%,0%
8/21/2023 11:37:12,11.40%,27.976 GB,100%,0%,0%
8/21/2023 11:37:14,10.90%,27.968 GB,100%,0%,0%
8/21/2023 11:37:16,11.70%,27.968 GB,100%,0%,0%
8/21/2023 11:37:18,10.90%,27.964 GB,100%,0%,0%
8/21/2023 11:37:20,11.10%,27.960 GB,100%,0%,0%
8/21/2023 11:37:22,11.00%,27.961 GB,100%,0%,0%
8/21/2023 11:37:24,11.30%,27.962 GB,100%,0%,0%
8/21/2023 11:37:26,7.88%,27.959 GB,68.80%,0%,0%
8/21/2023 11:37:28,4.51%,28.083 GB,0.01%,0%,0%
8/21/2023 11:37:30,63.70%,28.173 GB,0.30%,0%,0%
8/21/2023 11:37:32,10.50%,27.921 GB,73.00%,0%,0%
8/21/2023 11:37:34,10.70%,28.019 GB,85.60%,0%,0%
8/21/2023 11:37:36,10.80%,28.014 GB,100%,0%,0%
8/21/2023 11:37:38,10.70%,28.007 GB,100%,0%,0%
8/21/2023 11:37:40,11.90%,28.006 GB,100%,0%,0%
8/21/2023 11:37:42,11.50%,28.002 GB,100%,0%,0%
8/21/2023 11:37:44,11.30%,27.998 GB,100%,0%,0%
8/21/2023 11:37:46,10.90%,27.996 GB,100%,0%,0%
8/21/2023 11:37:48,10.60%,27.999 GB,100%,0%,0%
8/21/2023 11:37:50,11.50%,28.002 GB,100%,0%,0%
8/21/2023 11:37:52,3.44%,28.010 GB,17.80%,0%,0%
8/21/2023 11:37:54,29.50%,28.198 GB,0.03%,0%,0%
8/21/2023 11:37:56,57.40%,28.075 GB,15.10%,0%,0%
8/21/2023 11:37:58,10.90%,27.908 GB,100.00%,0%,0%
8/21/2023 11:38:00,10.80%,27.972 GB,100%,0%,0%
8/21/2023 11:38:02,10.60%,27.968 GB,100%,0%,0%
8/21/2023 11:38:04,10.70%,27.967 GB,100%,0%,0%
8/21/2023 11:38:06,10.90%,27.964 GB,100%,0%,0%
8/21/2023 11:38:08,10.90%,27.961 GB,100%,0%,0%
8/21/2023 11:38:10,12.00%,27.960 GB,100%,0%,0%
8/21/2023 11:38:12,11.80%,27.957 GB,100%,0%,0%
8/21/2023 11:38:14,11.10%,27.955 GB,100%,0%,0%
8/21/2023 11:38:16,11.10%,27.953 GB,100%,0%,0%
8/21/2023 11:38:18,3.99%,27.952 GB,24.90%,0%,0%
8/21/2023 11:38:20,30.80%,28.171 GB,0.08%,0%,0%
8/21/2023 11:38:22,53.70%,27.957 GB,42.10%,0%,0%
8/21/2023 11:38:24,10.50%,27.917 GB,100%,0%,0%
8/21/2023 11:38:26,11.10%,28.004 GB,100%,0%,0%
8/21/2023 11:38:28,10.90%,28.002 GB,100%,0%,0%
8/21/2023 11:38:30,11.10%,28.001 GB,100%,0%,0%
8/21/2023 11:38:32,11.00%,27.998 GB,100%,0%,0%
8/21/2023 11:38:34,10.80%,27.995 GB,100%,0%,0%
8/21/2023 11:38:36,12.50%,27.993 GB,100%,0%,0%
8/21/2023 11:38:38,11.30%,27.989 GB,100%,0%,0%
8/21/2023 11:38:40,11.90%,27.988 GB,86.30%,0%,0%
8/21/2023 11:38:42,4.52%,27.987 GB,0%,0%,0%
8/21/2023 11:38:44,6.50%,28.208 GB,0.06%,0%,0%
8/21/2023 11:38:46,48.80%,28.119 GB,37.90%,0%,0%
8/21/2023 11:38:48,10.70%,27.926 GB,99.50%,0%,0%
8/21/2023 11:38:50,11.50%,27.992 GB,100%,0%,0%
8/21/2023 11:38:52,11.10%,27.986 GB,100%,0%,0%
8/21/2023 11:38:54,10.60%,27.983 GB,100%,0%,0%
8/21/2023 11:38:56,10.80%,27.980 GB,100%,0%,0%
8/21/2023 11:38:58,11.50%,27.978 GB,100%,0%,0%
8/21/2023 11:39:00,11.80%,27.977 GB,100%,0%,0%
8/21/2023 11:39:02,11.00%,27.970 GB,100%,0%,0%
8/21/2023 11:39:04,11.90%,27.971 GB,100%,0%,0%
8/21/2023 11:39:06,9.82%,27.968 GB,38.40%,0%,0%
8/21/2023 11:39:08,2.82%,28.086 GB,0.04%,0%,0%
8/21/2023 11:39:10,31.80%,28.157 GB,54.10%,0%,0%
8/21/2023 11:39:12,45.30%,27.978 GB,100%,0%,0%
8/21/2023 11:39:14,13.60%,27.947 GB,100%,0%,0%
8/21/2023 11:39:16,12.10%,27.994 GB,100%,0%,0%
8/21/2023 11:39:18,11.20%,27.996 GB,100%,0%,0%
8/21/2023 11:39:20,11.00%,27.994 GB,100%,0%,0%
8/21/2023 11:39:22,11.00%,27.994 GB,100%,0%,0%
8/21/2023 11:39:24,13.40%,27.991 GB,100%,0%,0%
8/21/2023 11:39:26,11.30%,27.990 GB,100%,0%,0%
8/21/2023 11:39:28,12.30%,27.994 GB,100%,0%,0%
8/21/2023 11:39:30,11.10%,27.993 GB,47.60%,0%,0%
8/21/2023 11:39:32,9.45%,27.991 GB,0.04%,0%,0%
8/21/2023 11:39:34,8.88%,28.103 GB,11.60%,0%,0%
8/21/2023 11:39:36,85.90%,28.146 GB,98.00%,0%,0%
8/21/2023 11:39:38,20.30%,27.837 GB,100%,0%,0%
8/21/2023 11:39:40,11.40%,28.033 GB,100%,0%,0%
8/21/2023 11:39:42,13.20%,28.029 GB,100%,0%,0%
8/21/2023 11:39:44,10.50%,28.019 GB,100%,0%,0%
8/21/2023 11:39:46,11.90%,28.017 GB,100%,0%,0%
8/21/2023 11:39:48,10.80%,28.019 GB,100%,0%,0%
8/21/2023 11:39:50,12.80%,28.021 GB,100%,0%,0%
8/21/2023 11:39:52,11.10%,28.013 GB,100%,0%,0%
8/21/2023 11:39:54,12.30%,28.016 GB,61.80%,0%,0%
8/21/2023 11:39:56,9.92%,28.006 GB,0.04%,0%,0%
8/21/2023 11:39:58,3.14%,28.062 GB,55.90%,0%,0%
8/21/2023 11:40:00,27.80%,28.161 GB,100%,0%,0%
8/21/2023 11:40:02,42.70%,27.991 GB,100%,0%,0%
8/21/2023 11:40:04,10.80%,27.941 GB,100%,0%,0%
8/21/2023 11:40:06,10.70%,27.989 GB,100%,0%,0%
8/21/2023 11:40:08,12.00%,27.988 GB,100%,0%,0%
8/21/2023 11:40:10,12.20%,27.983 GB,100%,0%,0%
8/21/2023 11:40:12,11.50%,27.981 GB,100%,0%,0%
8/21/2023 11:40:14,11.10%,27.977 GB,100%,0%,0%
8/21/2023 11:40:16,10.80%,27.976 GB,100%,0%,0%
8/21/2023 11:40:18,11.80%,27.978 GB,43.30%,0%,0%
8/21/2023 11:40:20,11.50%,27.982 GB,0.04%,0%,0%
8/21/2023 11:40:22,9.44%,27.979 GB,11.20%,0%,0%
8/21/2023 11:40:24,1.94%,28.098 GB,86.40%,0%,0%
8/21/2023 11:40:26,56.40%,28.183 GB,93.50%,0%,0%
8/21/2023 11:40:28,17.90%,27.920 GB,100%,0%,0%
8/21/2023 11:40:30,10.40%,28.021 GB,100%,0%,0%
8/21/2023 11:40:32,11.20%,28.017 GB,100%,0%,0%
8/21/2023 11:40:34,11.50%,28.007 GB,100%,0%,0%
8/21/2023 11:40:36,11.70%,28.008 GB,100%,0%,0%
8/21/2023 11:40:38,11.10%,27.997 GB,100%,0%,0%
8/21/2023 11:40:40,11.80%,27.994 GB,100%,0%,0%
8/21/2023 11:40:42,12.80%,27.991 GB,91.20%,0%,0%
8/21/2023 11:40:44,10.90%,27.989 GB,0%,0%,0%
8/21/2023 11:40:46,12.30%,27.989 GB,0.08%,0%,0%
8/21/2023 11:40:48,4.76%,27.984 GB,43.20%,0%,0%
8/21/2023 11:40:50,16.70%,28.206 GB,100%,0%,0%
8/21/2023 11:40:52,59.60%,28.081 GB,100%,0%,0%
8/21/2023 11:40:54,11.60%,27.921 GB,100%,0%,0%
8/21/2023 11:40:56,10.90%,27.998 GB,100%,0%,0%
8/21/2023 11:40:58,11.20%,27.990 GB,100%,0%,0%
8/21/2023 11:41:00,10.40%,27.984 GB,100%,0%,0%
8/21/2023 11:41:02,10.70%,27.981 GB,100%,0%,0%
8/21/2023 11:41:04,11.40%,27.975 GB,100%,0%,0%
8/21/2023 11:41:06,11.50%,27.981 GB,100%,0%,0%
8/21/2023 11:41:08,10.40%,27.979 GB,41.10%,0%,0%
8/21/2023 11:41:10,11.50%,27.979 GB,0.04%,0%,0%
