Time,cpu,mem,gpu,gpu video,gpu enhance
8/21/2023 13:19:50,0.22%,28.639 GB,0%,0%,0%
8/21/2023 13:19:51,0.79%,28.630 GB,0%,0%,0%
8/21/2023 13:19:52,0.67%,28.629 GB,0%,0%,0%
8/21/2023 13:19:53,0.50%,28.630 GB,0%,0%,0%
8/21/2023 13:19:54,0.58%,28.622 GB,0%,0%,0%
8/21/2023 13:19:56,0.67%,28.608 GB,0%,0%,0%
8/21/2023 13:19:56,4.75%,28.577 GB,0%,0%,0%
8/21/2023 13:19:57,0.33%,28.569 GB,0%,0%,0%
8/21/2023 13:19:58,0.21%,28.565 GB,0%,0%,0%
8/21/2023 13:19:59,3.13%,28.571 GB,0%,0%,0%
8/21/2023 13:20:00,4.25%,28.522 GB,0%,0%,0%
8/21/2023 13:20:01,5.29%,28.446 GB,0%,0%,0%
8/21/2023 13:20:02,4.33%,28.441 GB,0%,0%,0%
8/21/2023 13:20:03,4.50%,28.437 GB,0%,0%,0%
8/21/2023 13:20:04,4.00%,28.567 GB,0%,0%,0%
8/21/2023 13:20:05,4.12%,28.449 GB,0.25%,0%,0%
8/21/2023 13:20:06,16.00%,28.351 GB,37.90%,0%,0%
8/21/2023 13:20:07,4.50%,28.354 GB,100%,0%,0%
8/21/2023 13:20:08,3.75%,28.353 GB,100%,0%,0%
8/21/2023 13:20:09,3.79%,28.352 GB,100%,0%,0%
8/21/2023 13:20:10,3.75%,28.350 GB,100%,0%,0%
8/21/2023 13:20:11,4.25%,28.346 GB,100%,0%,0%
8/21/2023 13:20:12,3.96%,28.349 GB,100%,0%,0%
8/21/2023 13:20:13,4.00%,28.353 GB,100%,0%,0%
8/21/2023 13:20:14,4.04%,28.354 GB,100%,0%,0%
8/21/2023 13:20:15,4.08%,28.359 GB,100%,0%,0%
8/21/2023 13:20:16,3.92%,28.360 GB,100%,0%,0%
8/21/2023 13:20:17,3.88%,28.362 GB,100%,0%,0%
8/21/2023 13:20:18,3.79%,28.361 GB,100%,0%,0%
8/21/2023 13:20:19,3.75%,28.360 GB,100%,0%,0%
8/21/2023 13:20:20,3.96%,28.357 GB,100%,0%,0%
8/21/2023 13:20:21,4.00%,28.357 GB,100%,0%,0%
8/21/2023 13:20:22,3.84%,28.363 GB,100%,0%,0%
8/21/2023 13:20:23,4.20%,28.361 GB,100%,0%,0%
8/21/2023 13:20:24,3.71%,28.360 GB,100%,0%,0%
8/21/2023 13:20:26,3.79%,28.359 GB,100%,0%,0%
8/21/2023 13:20:26,2.54%,28.612 GB,67.80%,0%,0%
8/21/2023 13:20:27,0.29%,28.609 GB,0%,0%,0%
8/21/2023 13:20:28,1.83%,28.485 GB,0%,0%,0%
8/21/2023 13:20:29,17.10%,28.366 GB,0.83%,0%,0%
8/21/2023 13:20:30,3.79%,28.363 GB,100%,0%,0%
8/21/2023 13:20:31,3.71%,28.361 GB,100%,0%,0%
8/21/2023 13:20:32,4.04%,28.358 GB,100%,0%,0%
8/21/2023 13:20:33,4.04%,28.356 GB,100%,0%,0%
8/21/2023 13:20:34,3.80%,28.357 GB,100%,0%,0%
8/21/2023 13:20:35,3.75%,28.356 GB,100%,0%,0%
8/21/2023 13:20:36,4.00%,28.355 GB,100%,0%,0%
8/21/2023 13:20:37,3.67%,28.351 GB,100%,0%,0%
8/21/2023 13:20:38,3.75%,28.351 GB,100%,0%,0%
8/21/2023 13:20:39,3.88%,28.350 GB,100%,0%,0%
8/21/2023 13:20:40,3.83%,28.349 GB,100%,0%,0%
8/21/2023 13:20:41,3.75%,28.348 GB,100%,0%,0%
8/21/2023 13:20:42,4.29%,28.351 GB,100%,0%,0%
8/21/2023 13:20:43,4.05%,28.349 GB,100%,0%,0%
8/21/2023 13:20:44,3.92%,28.348 GB,100%,0%,0%
8/21/2023 13:20:45,3.75%,28.348 GB,100%,0%,0%
8/21/2023 13:20:46,4.37%,28.345 GB,100%,0%,0%
8/21/2023 13:20:47,3.96%,28.345 GB,100%,0%,0%
8/21/2023 13:20:48,3.84%,28.346 GB,100%,0%,0%
8/21/2023 13:20:49,3.58%,28.609 GB,100%,0%,0%
8/21/2023 13:20:50,0.25%,28.608 GB,0%,0%,0%
8/21/2023 13:20:51,0.46%,28.595 GB,0%,0%,0%
8/21/2023 13:20:52,13.20%,28.166 GB,0.27%,0%,0%
8/21/2023 13:20:53,8.47%,28.330 GB,71.70%,0%,0%
8/21/2023 13:20:54,4.08%,28.327 GB,100%,0%,0%
8/21/2023 13:20:55,3.79%,28.325 GB,100%,0%,0%
8/21/2023 13:20:57,3.83%,28.325 GB,100%,0%,0%
8/21/2023 13:20:57,3.92%,28.330 GB,100%,0%,0%
8/21/2023 13:20:58,3.87%,28.328 GB,100%,0%,0%
8/21/2023 13:20:59,3.88%,28.327 GB,100%,0%,0%
8/21/2023 13:21:00,3.71%,28.325 GB,100%,0%,0%
8/21/2023 13:21:01,3.67%,28.325 GB,100%,0%,0%
8/21/2023 13:21:02,3.71%,28.326 GB,100%,0%,0%
8/21/2023 13:21:03,3.92%,28.325 GB,100%,0%,0%
8/21/2023 13:21:04,4.21%,28.327 GB,100%,0%,0%
8/21/2023 13:21:05,3.80%,28.324 GB,100%,0%,0%
