Time,cpu,mem,gpu,gpu video,gpu enhance
9/5/2023 18:27:16,4.59%,29.235 GB,100%,0%,0%
9/5/2023 18:27:17,4.42%,29.241 GB,100%,0%,0%
9/5/2023 18:27:18,3.92%,29.240 GB,100%,0%,0%
9/5/2023 18:27:19,3.92%,29.238 GB,100%,0%,0%
9/5/2023 18:27:20,3.12%,29.238 GB,91.80%,0%,0%
9/5/2023 18:27:22,0.42%,29.538 GB,0%,0%,0%
9/5/2023 18:27:23,1.29%,29.534 GB,0%,0%,0%
9/5/2023 18:27:23,17.50%,29.449 GB,0.88%,0%,0%
9/5/2023 18:27:24,4.05%,28.997 GB,85.90%,0%,0%
9/5/2023 18:27:25,3.46%,29.256 GB,91.30%,0%,0%
9/5/2023 18:27:27,3.71%,29.255 GB,91.20%,0%,0%
9/5/2023 18:27:27,4.63%,29.251 GB,100%,0%,0%
9/5/2023 18:27:28,3.71%,29.253 GB,100%,0%,0%
9/5/2023 18:27:30,3.75%,29.252 GB,100%,0%,0%
9/5/2023 18:27:30,3.79%,29.252 GB,100%,0%,0%
9/5/2023 18:27:31,3.83%,29.250 GB,100%,0%,0%
9/5/2023 18:27:32,3.75%,29.250 GB,100%,0%,0%
9/5/2023 18:27:34,3.75%,29.251 GB,100%,0%,0%
9/5/2023 18:27:35,3.75%,29.250 GB,100%,0%,0%
9/5/2023 18:27:35,3.84%,29.250 GB,100%,0%,0%
9/5/2023 18:27:37,4.04%,29.250 GB,100%,0%,0%
9/5/2023 18:27:37,3.83%,29.249 GB,100%,0%,0%
9/5/2023 18:27:38,3.71%,29.253 GB,100%,0%,0%
9/5/2023 18:27:39,3.79%,29.253 GB,100%,0%,0%
9/5/2023 18:27:41,4.66%,29.253 GB,100%,0%,0%
9/5/2023 18:27:41,4.05%,29.250 GB,100%,0%,0%
9/5/2023 18:27:42,4.37%,29.248 GB,100%,0%,0%
9/5/2023 18:27:43,3.96%,29.251 GB,100%,0%,0%
9/5/2023 18:27:44,1.09%,29.249 GB,10.70%,0%,0%
9/5/2023 18:27:45,0.33%,29.531 GB,0%,0%,0%
9/5/2023 18:27:46,7.04%,29.528 GB,0.22%,0%,0%
9/5/2023 18:27:47,14.70%,29.251 GB,45.90%,0%,0%
9/5/2023 18:27:48,3.92%,29.295 GB,100%,0%,0%
9/5/2023 18:27:49,3.79%,29.292 GB,100%,0%,0%
9/5/2023 18:27:50,3.88%,29.291 GB,100%,0%,0%
9/5/2023 18:27:52,3.96%,29.289 GB,100%,0%,0%
9/5/2023 18:27:52,4.25%,29.287 GB,100%,0%,0%
9/5/2023 18:27:53,3.75%,29.279 GB,100%,0%,0%
9/5/2023 18:27:54,3.84%,29.279 GB,100%,0%,0%
9/5/2023 18:27:55,3.71%,29.277 GB,100%,0%,0%
9/5/2023 18:27:56,3.79%,29.276 GB,100%,0%,0%
9/5/2023 18:27:57,3.80%,29.277 GB,100%,0%,0%
9/5/2023 18:27:58,3.75%,29.282 GB,100%,0%,0%
9/5/2023 18:27:59,4.04%,29.281 GB,100%,0%,0%
9/5/2023 18:28:00,4.17%,29.279 GB,100%,0%,0%
9/5/2023 18:28:01,3.87%,29.274 GB,100%,0%,0%
9/5/2023 18:28:02,4.04%,29.281 GB,100%,0%,0%
9/5/2023 18:28:04,3.88%,29.280 GB,100%,0%,0%
9/5/2023 18:28:04,3.79%,29.277 GB,100%,0%,0%
9/5/2023 18:28:05,3.84%,29.276 GB,100%,0%,0%
9/5/2023 18:28:06,4.20%,29.276 GB,100%,0%,0%
9/5/2023 18:28:07,2.13%,29.276 GB,59.20%,0%,0%
9/5/2023 18:28:08,0.21%,29.528 GB,0%,0%,0%
9/5/2023 18:28:10,2.29%,29.526 GB,0.08%,0%,0%
9/5/2023 18:28:11,17.50%,29.442 GB,0.77%,0%,0%
9/5/2023 18:28:11,4.17%,29.270 GB,100%,0%,0%
9/5/2023 18:28:12,4.62%,29.265 GB,100%,0%,0%
9/5/2023 18:28:13,3.83%,29.266 GB,100%,0%,0%
9/5/2023 18:28:14,3.67%,29.264 GB,100%,0%,0%
9/5/2023 18:28:15,4.17%,29.262 GB,100%,0%,0%
9/5/2023 18:28:17,4.25%,29.260 GB,100%,0%,0%
9/5/2023 18:28:17,4.00%,29.258 GB,100%,0%,0%
9/5/2023 18:28:18,3.96%,29.259 GB,100%,0%,0%
9/5/2023 18:28:20,3.79%,29.257 GB,100%,0%,0%
9/5/2023 18:28:20,3.79%,29.257 GB,100%,0%,0%
9/5/2023 18:28:22,4.34%,29.257 GB,100%,0%,0%
9/5/2023 18:28:23,3.88%,29.260 GB,100%,0%,0%
9/5/2023 18:28:23,3.83%,29.265 GB,100%,0%,0%
